study,study.name,group.name,year,Title,Pub_type,L1 L2,L3,TransferModels,assessmentType,instructional context,educational level,tasks,analysis type,Number,Mean,SD
23,Dehghani&Jabbari,C,2014,The Acquisition of relative clause constructions by Persian native speakers of English (L2) and French (L3). ,1,PersianEnglish,French,L2SFCEM,,4,3,,1,20,0.32,0.32
24,Khezri et al.,EX,2020,Acquisition of English Auxiliary Stranding Constructions by Persian EFL Learners. ,1,PersianEnglish,French,L1Transfer,AuxiliaryStranding,4,3,TranslationAJT,1,30,0.58,0.26
24,Khezri et al.,C,2020,Acquisition of English Auxiliary Stranding Constructions by Persian EFL Learners. ,1,PersianEnglish,French,L1Transfer,,4,3,,1,30,0.26,0.26
25,Giancasporo et al.,EX,2014,Transfer at the initial stages of L3 Brazilian Portuguese: A look at three groups of English/Spanish bilinguals. ,1,EnglishSpanish,BrazilianPortogues,TPM,DifferentialObjectMarking,4,3,GJT,1,43,0.45,0.45
25,Giancasporo et al.,C,2014,Transfer at the initial stages of L3 Brazilian Portuguese: A look at three groups of English/Spanish bilinguals. ,1,EnglishSpanish,BrazilianPortogues,TPM,,4,3,,1,10,0.4,0.4
26,BenAbbes,EX,2016,The acquisition of French morpho-syntactic properties: Cross-linguistic Influence in the Learning of L3 French by Turkish/Spanish speakers who learned English as an L2 ,2,SpanishTurkishEnglish,French,PSP,GenderNumberConcordDefinitenesSpecificityVerbRaising,4,3,Translation,1,22,0.34,0.34
26,BenAbbes,C,2016,The acquisition of French morpho-syntactic properties: Cross-linguistic Influence in the Learning of L3 French by Turkish/Spanish speakers who learned English as an L2 ,2,SpanishTurkishEnglish,French,PSP,,4,3,,1,16,0.32,0.3
27,Sokolova&Plisov,EX,2019,Cross-linguistic transfer classroom L3 acquisition in university setting.,1,RussianFrenchGermanEnglish,English,SMLPM,NegativesNasality,4,3,WrittenProductionOralProductionPronunciation,1,27,0.47,0.47
27,Sokolova&Plisov,C,2019,Cross-linguistic transfer classroom L3 acquisition in university setting.,1,RussianFrenchGermanEnglish,English,SMLPM,,4,3,,1,10,0.22,0.4
28,Clements&Dominguez,EX,2018,Testing the predictions of the Scalpel Model in L3/Ln acquisition.,1,EnglishSpanish,Chinese,SM,NullOvertSubject,4,3,"WrittenProduction,PronounInterpretation",1,25,0.32,0.32
28,Clements&Dominguez,C,2018,Testing the predictions of the Scalpel Model in L3/Ln acquisition.,1,EnglishSpanish,Chinese,SM,,4,3,,1,20,0.03,0.32
29,Berkes&Flynn,EX,2012,Further evidence in support of the Cumulative-Enhancement Model. ,1,GermanHungarian,English,CEM,RelativeClauses,4,3,ElicitedImmitation,1,42,0.22,0.22
29,Berkes&Flynn,C,2012,Further evidence in support of the Cumulative-Enhancement Model. ,1,GermanHungarian,English,CEM,,4,3,,1,36,0.01,0.22
30,Kim ,EX,2024,"Crosslinguistic influence in bilingual morphosyntactic processing: Effects of language-common, language-contrasting, and language-specific information. ",1,Chinese/Japanese,Korean,L2SF,NP-NQ agreement ,4,3,self-paced reading/AJT,1,24,0.03,0.03
30,Kim ,C,2024,"Crosslinguistic influence in bilingual morphosyntactic processing: Effects of language-common, language-contrasting, and language-specific information. ",1,Chinese/Japanese,Korean,L2SF,,4,3,,1,24,0.22,0.03
31,Luan et al. ,EX,2024,The effect of previously acquired languages on third language acquisition. ,1,JapaneseEnglish,Chinese,LPM,RelativeClauses,4,3,GJT,1,100,0.2,0.2
31,Luan et al. ,C,2024,The effect of previously acquired languages on third language acquisition. ,1,JapaneseEnglish,Chinese,LPM,,4,3,,1,27,0.01,0.01
